#{"t_start": 1776778095.5306222, "env_id": "None"}
r,l,t,is_success
53.768195,54,5800.922227,True
61.904199,31,5802.414045,True
55.503053,12,5803.002418,True
62.207688,81,5806.89288,True
60.906674,28,5808.254682,True
65.547545,47,5810.528921,True
68.760028,45,5812.703748,True
59.629389,50,5815.147858,True
54.091269,9,5815.595959,True
65.937937,94,5820.114355,True
61.019003,53,5822.682992,True
62.882695,34,5824.326484,True
65.105112,96,5828.948247,True
61.312626,28,5830.303357,True
58.698011,116,5835.935525,True
61.429402,74,5839.489502,True
59.195318,80,5843.343258,True
54.524899,12,5843.937897,True
59.773102,22,5845.068559,True
61.099227,57,5847.849259,True
61.642455,83,5851.872878,True
57.914281,16,5852.652525,True
59.461188,21,5861.445078,True
61.077446,74,5865.060076,True
62.10993,88,5869.297955,True
57.021873,66,5872.513752,True
61.597162,26,5873.796581,True
57.871026,69,5877.109237,True
57.019913,61,5880.036574,True
54.979257,11,5880.576133,True
63.68549,114,5886.127054,True
56.402972,14,5886.805815,True
66.189376,111,5892.212639,True
55.044276,10,5892.698053,True
58.781419,70,5896.072915,True
60.982588,24,5897.281261,True
58.887328,19,5898.209518,True
53.711186,9,5898.658444,True
59.291717,20,5899.639322,True
56.742067,72,5903.367499,True
64.066731,78,5907.323652,True
62.586027,92,5911.758366,True
57.463052,17,5912.598842,True
65.009857,86,5916.771477,True
49.441208,1,5916.833976,True
60.808461,21,5917.841682,True
62.21233,25,5919.045661,True
57.995994,19,5919.968833,True
56.276086,14,5920.652951,True
63.591995,32,5922.206122,True
58.993339,77,5925.9917,True
52.53283,6,5926.295682,True
56.934565,16,5927.093337,True
60.38696,20,5928.068863,True
56.991904,67,5931.361145,True
64.167903,134,5937.877757,True
60.082428,66,5941.119267,True
61.752795,80,5944.980596,True
64.665629,91,5949.37435,True
57.605719,39,5951.285122,True
58.121754,69,5954.606893,True
61.338027,23,5955.716872,True
62.890775,75,5959.331173,True
57.814542,29,5960.742773,True
58.774634,21,5969.111386,True
64.21487,101,5974.027115,True
59.548051,60,5976.922895,True
57.094025,15,5977.670844,True
61.663424,127,5983.831079,True
60.785217,35,5985.542145,True
54.482283,10,5986.041773,True
60.682821,35,5987.740943,True
65.733164,122,5993.680771,True
60.08855,21,5994.708034,True
60.045484,24,5995.91191,True
